mediatype,collection,publisher,year,licenseurl,language,file,identifier,date,creator,title,description
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-Mairin_Duffy-UX_Plus_Free_Software_Equals_Love.mp4,SeaGL2020-Mairin_Duffy-UX_Plus_Free_Software_Equals_Love,2020-11-13,Máirín Duffy,UX + Free Software = Love,Keynote
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-Daniel_Takamori-The_Soul_Of_A_Computer.mp4,SeaGL2020-Daniel_Takamori-The_Soul_Of_A_Computer,2020-11-13,Daniel Takamori,The Soul Of A Computer,Keynote
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-Mariatta_Wijaya-Oops_I_Became_an_Open_Source_Maintainer.mp4,SeaGL2020-Mariatta_Wijaya-Oops_I_Became_an_Open_Source_Maintainer,2020-11-13,Mariatta Wijaya,Oops! I Became an Open Source Maintainer!,"<p>I consider myself relatively new to the open source world; my first open source contribution was in summer of 2016. Pretty soon I found myself being given commit rights to other people’s open source projects. Being a new open source maintainer brings a set of unique challenges that I was not fully prepared for. In this talk, I will share my journey and the things I’ve learned along the way, and some advice for other aspiring open source maintainers and contributors.</p>"
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-Mariah_Villarreal-Rise_up_for_free_software_in_schools.mp4,SeaGL2020-Mariah_Villarreal-Rise_up_for_free_software_in_schools,2020-11-13,Mariah Villarreal,Rise up for free software in schools!,"<p>U.S. public education systems are failing students and teachers in our digital world. Increasingly, teachers and students are told to use proprietary software, so they do, without much of a choice and without enough resources to consider the repercussions or alternatives. Unfortunately, this negatively impacts Black and Brown young people the most and our community needs to better address this.</p><p>This talk will briefly introduce why free software is important in education, give examples of how proprietary software is rapidly deployed in schools and credit people who are rising up against this injustice, big and small.</p><p>It is imperative to reach out to the education community about these issues. There are real, actionable solutions!</p><p>Learn about this ongoing crisis and how YOU can join the effort in a meaningful, inclusive way. Time and resources will be acknowledged for skill sharing as well.</p>"
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-Neil_McGovern-Patently_Obvious.mp4,SeaGL2020-Neil_McGovern-Patently_Obvious,2020-11-13,Neil McGovern,Patently Obvious,"<p>In August 2019, GNOME was notified that it was being sued in the state of California over a broad patent which allegedly covered Shotwell, a photo management application. The plaintiff? A prolific filer of patent suits, and a patent assertion entity. This was the first time that a FOSS project has been sued for patent infringement.</p><p>This talk is the story from the Executive Director of the GNOME Foundation, on how he responded and the strategies taken to not only defeat the suit, but to secure a ground-breaking agreement which means that this particular PAE will never be able to sue any FOSS project ever again.</p>"
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-Ruth_Ikegah-A_Beginner_Inclusive_Approach_to_Open_Source.mp4,SeaGL2020-Ruth_Ikegah-A_Beginner_Inclusive_Approach_to_Open_Source,2020-11-13,Ruth Ikegah,A Beginner-Inclusive Approach to Open Source,"<p>The feeling of being accepted, guided, and given the opportunity to improve irrespective of current abilities is priceless.</p><p>There's a need to set up a specialized team in open source communities and organizations whose primary goal is advocating, embracing, and integrating beginners into OSS. This team should focus on implementing roadmaps and personal guides with an inclusive and accessible approach to address the challenges first-timers face when joining OSS projects.</p><p>There has been massive progress in the acceptance and practice of open source globally, but we have lagged in teaching the ideology of contributing to and taking advantage of open source with beginners.</p><p>Data from two Twitter polls on open source contribution show:</p><ul><li>42.1% of people do not know how to contribute.<a href=""https://twitter.com/IkegahRuth/status/1277593968050667522"">Here</a></li><li>40.3% of senior developers do not contribute at all.<a href=""https://twitter.com/IkegahRuth/status/1277590995316674562"">Here</a></li></ul><p>I'm convinced that the difficulties contributing to open source projects fuel these trends. We've missed out on their input, creativity, and impact on developing products to improve the world. With an analysis of the challenges involved, a sustainable plan of effective and beginner-friendly guidance by open source communities will educate beginners to contribute to open source.</p><p>As a beginner, I'm in a good position to relate and talk about the challenges beginners face when trying to understand and contribute to open source.</p>"
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-Stephen_Wilson-The_Open_Digital_Photography_Workflow.mkv,SeaGL2020-Stephen_Wilson-The_Open_Digital_Photography_Workflow,2020-11-13,Stephen Wilson,The Open Digital Photography Workflow,"<p>The photographic workflow of a photographer using Open Source tools and Open Source friendly hardware.</p><p>With consolidation of the photographic space by a few large companies, photographers have been funneled in to proprietary workflows</p><p>Using hardware supporting open standards and open source software we’ll walk through how to move out of the proprietary photography workflow, take ownership of the photographer’s own data and art.</p>"
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-Gareth_J_Greenaway-Open_Source_Secrets_Management.mp4,SeaGL2020-Gareth_J_Greenaway-Open_Source_Secrets_Management,2020-11-13,Gareth J. Greenaway,Open Source Secrets Management,"<p>One common problem that all organizations need to solve when planning out their infrastructure is the need for storing secrets, such as passwords, credentials, API keys, and other sensitive data. Often this information is used for application deployments or simply running company applications. But it might need to be segmented by environment or use, with only certain groups or individuals having access. Fortunately there are many free &amp; open source solutions to secrets management. In this talk:</p><ul><li>We'll look at the various free &amp; open source solutions that are available.</li><li>We'll look at some pluses and minuses for each of them.</li><li>Finally we'll look at using some of these solutions in a real world scenario.</li></ul>"
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-der_hans-FLOSS_and_you.mp4,SeaGL2020-der_hans-FLOSS_and_you,2020-11-13,der.hans,FLOSS and you,"<p>User freedom addresses software licensing from the perspective of those using the software.</p><p>What are advantages and disadvantages of different licensing models in relation to user freedom?</p><p>How does licensing impact individuals, organizations and businesses as we use software?</p><p>How does software distribution ( packages, cloud, bundled in a product ) impact user freedom?</p><p>The presentation and ensuing conversation is about user freedom and the impact of the software we choose to use.</p><p>It's a consideration of the everyperson relationship with software licensing.</p><p>Attendees will consider how the following relate to them:</p><ul><li>software usage models</li><li>the four freedoms of Free Software</li><li>the open source development model</li><li>strong and weak copyleft</li></ul>"
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-Suraj_Kumar_Mahto-Introducing_FOSS_Culture_at_Universities.mp4,SeaGL2020-Suraj_Kumar_Mahto-Introducing_FOSS_Culture_at_Universities,2020-11-13,Suraj Kumar Mahto,Introducing FOSS Culture at Universities,"<p>Hello everyone, this is Suraj Kumar Mahto from BIT Sindri majoring in Information Technology. I have just completed my sophomore year. I am one of the leads in a developer club in my college. Since our advent as a developer club, we have started up numerous initiatives to inculcate Open Source as a culture in our institution. So I would like to express my experience and opinion on that.</p><p>Some keynote points that should be discussed in such sessions are:</p><ul><li>INTRO SESSIONS : How would you introduce Open Source to a freshmen? Most of the freshmen in college have a quite vague knowledge about Open Source technologies especially when they are heavily surrounded by Proprietary softwares from early school. Students can be explained in layman terms about the ‘Free’ and Open Source as a recipe as described by Richard Stallman and FOSS can be described as a recipe which can be improvised and shared while still having the original recipe with you inducing a type of free culture. Free as if Freedom.</li><li>TROUBLESHOOTING - The major hurdle new users face the general procedure on troubleshooting. How they should proceed on various issues.</li><li>SEARCH ENGINE USAGE- Using a search engine is considered an art. Students can be introduced to this art.</li></ul><p>LINUX INSTALLATION FESTS - Engage &amp; Enquire</p><ul><li>Students will be provided bootable devices and live help sessions to install GNU/Linux.</li><li>Fun awareness events to engage and inform participants about the FOSS history.</li><li>Talk sessions by prominent speakers in the Open Source field.</li><li>Encouraging the students to use GNU/Linux as a daily driver.</li></ul><p>MONTHLY FOSS JAM SESSIONS -</p><ul><li>Monthly meetups to showcase Open Source projects and discuss upon that.</li><li>Support groups to provide help 24*7 for the new users.</li></ul><p>AT UNIVERSITY LEVEL - </p><ul><li>Encouraging the use of Open Source Softwares as their daily driver.</li><li>Explaining the pros of using FOSS technologies over proprietary ones like privacy, active community support etc</li><li>Implementing these over Faculty as well as students.</li><li>Explaining students about various open source programs such as GSoC, Rails Summer of Code.</li></ul>"
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-Josh_Boykin-Gaming_for_Good_Using_Passions_and_Technology_for_Social_Change.mp4,SeaGL2020-Josh_Boykin-Gaming_for_Good_Using_Passions_and_Technology_for_Social_Change,2020-11-13,Josh Boykin,Gaming for Good: Using Passions and Technology for Social Change,"<p>I'd love to give a talk about using the technology around us and our personal interests to make a social impact, and the ways that open doors to make broader change in unexpected ways. Using Intelligame as an example, I'd like to talk about starting a criticism website using Wordpress and beginning my career as a streamer, but also talk about the social contracts and policies I put together to build the community into a conscious, progressive collective that's raised over $20,000 for charities. Learning streaming also opened a space for me to work with organizations like the ACLU to help them organize online events, which powers even more activism. I think anyone can use the skills they have and the interests they enjoy to help make a difference so long as they connect with the right people and keep an open mind.</p>"
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-Megan_Guiney-Democratizing_Documentation.mp4,SeaGL2020-Megan_Guiney-Democratizing_Documentation,2020-11-13,Megan Guiney,Democratizing Documentation,"<p>Democratizing knowledge has always been a core value of open source and activist communities alike. However, as open source has grown into an institution in its own right, the norms of each community have become cemented, and thus barriers to participation built.</p><p>As these barriers have become increasingly apparent, we have seen the rise of a new kind of technical content- zines, which have long been used in activist communities to interrogate, subvert, and topple exclusion via the free sharing of information which has traditionally been available to a privileged few.</p><p>In this high level talk, attendees will learn about:</p><ul><li>Where zines came from</li><li>Zine culture as an implementation of the “New Hacker Ethic”</li><li>The strengths of zines as a source of technical knowledge</li><li>How to find, read, and start making zines of our own</li></ul>"
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-Mike_Hamrick-Features_of_a_Modern_Terminal_Emulator.mp4,SeaGL2020-Mike_Hamrick-Features_of_a_Modern_Terminal_Emulator,2020-11-13,Mike Hamrick,Features of a Modern Terminal Emulator,"<p>Depending on your computing platform, there are a dizzying array of terminal emulators from which to choose. Which one will suit you best depends on which features and capabilities you require. Terminals and terminal emulators have come a long way since the teletype, the VT100, and even the relatively modern xterm. In this talk we'll explore the landscape of capabilities and features offered by the modern terminal emulator including:</p><ul><li>Font handling: unicode, icon fonts, fallbacks &amp; more</li><li>SGR escape sequences for italics, bold, underline, strike-through, etc</li><li>Xterm mouse support</li><li>System clipboard integration via OSC-52</li><li>Paste bracketing</li><li>24-bit color</li><li>Bit-mapped graphics support</li></ul><p>Whether you're looking for new ideas to improve your terminal workflow, or to simply freshen up your 80x24 look -- if you spend more than few minutes a day in the terminal this talk is for you!</p>"
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-Jill_Rouleau-Demystifying_Contributor_Culture.mp4,SeaGL2020-Jill_Rouleau-Demystifying_Contributor_Culture,2020-11-13,Jill Rouleau,"Demystifying Contributor Culture: IRC, Mailing Lists, and Netiquette for the 21st Century","<p>Want to contribute to an Open Source project, but don't know what to expect or how to navigate the new contributor process? You're not alone! Much of the culture and tools used to participate in upstream communities is often shrouded behind in-knowledge and unfamiliar to new contributors. This session will draw back the curtain on these topics so that new developers and experienced professionals alike can make their first Open Source contributions with confidence.</p><p>Attendees will get answers to questions like:</p><ul><li>Aren't Open Source communities just a bunch of strangers on the internet? How do you communicate and get anything done?</li><li>IRC and mailing lists? Does anyone really still use those things anymore?</li><li>No one is responding to my messages/posts/PRs, what gives?</li><li>What is a day in the life of a project maintainer like?</li></ul>"
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-Elijah_C_Voigt-Lets_Make_Games_with_Rust.mp4,SeaGL2020-Elijah_C_Voigt-Lets_Make_Games_with_Rust,2020-11-13,Elijah C. Voigt,Let's Make Games with Rust,"<p>In this talk we will write a small game in Rust using the Amethyst game engine. You will learn about Rust as well as some basic game programming principles like the Entity, Component, System (ECS). You will not need prior experience with games programming, Rust, nor Amethyst, but a passing familiarity with Rust will give you a head start.</p><p>Game's industry software is largely dominated by C and C++. These languages are fast and productive, but they can also be buggy and prone to catastrophic programming errors.</p><p>Enter: the Rust Programming Language. Rust is a safe yet powerful systems programming language. Rust looks and acts a lot like C++, but guarantees safety from pesky memory bugs that countless RFCs have been written about.</p><p>Rust's safety is most critical in device drivers and life support software, where a crash can mean life and death, but we can also use it to make games?</p><p>Enter: the Amethyst Game Engine. Amethyst is a fully open source game engine written in Rust. Amethyst provides tools for writing 2D and 3D games and implements many industry standards like an ECS framework, and data-driven design. Not sure what those works mean? Come find out!</p>"
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-Rowin_Andruscavage-Overclocking_for_Your_Mind_and_Body.mp4,SeaGL2020-Rowin_Andruscavage-Overclocking_for_Your_Mind_and_Body,2020-11-13,Rowin Andruscavage,Overclocking for Your Mind and Body,"<p>You’ve tweaked your cooling setup to overclock your CPU, how can you increase the flow rate of your own central nervous system? Learn to apply traditional martial arts techniques and get every last bit of juice from your wetware. Join this session to learn how to benchmark your system and identify and remove blockages and I/O bottlenecks. Practice traditional techniques with modern applications that help prevent RSI and keep your mind and body fresh and productive throughout your most grueling software development sessions.</p><p>Presented by Oom Yung Doe Northwest, a 501(c)(3) non-profit Traditional Martial Arts school with a mission to bring health and wellness to our community through Traditional Martial Arts training. http://oomyungdoe-nw.com/</p>"
movies,seagl,Seattle GNU/Linux Conference,2020,https://creativecommons.org/licenses/by/3.0/,English,SeaGL2020-Kaylea_Champion-How_to_build_a_zombie_detector.mkv,SeaGL2020-Kaylea_Champion-How_to_build_a_zombie_detector,2020-11-13,Kaylea Champion,How to build a zombie detector: Identifying software quality problems,"<p>How do we measure and track the quality of the open source software we rely on? When a project is in trouble, how do we know? What have past approaches to this question gotten right, where have they gone astray, and what's still a mystery?</p><p>Predicting and measuring software quality is a subject of substantial academic research but not always discussed with the people who actually make software. To help close that gap, we sifted hundreds of research articles that proposed, assessed, and sometimes verified different metrics of software quality. In this talk, I'll summarize the current state of the software quality field, and explore the map of known approaches: from by-hand inspections through repository mining and machine learning. What can these approaches tell us? I'll share both the best, most-validated metrics we found and the weakest, least-proven ones.</p><p>Finally, I'll share a proposed measurement strategy, drawn from work in multiple disciplines -- informed by practical experience as well as computer science, information systems, and social science. I'll share our preliminary results from a project to measure the relative health of thousands of open source projects, and what that might mean for the future of our shared digital infrastructure.</p><p>After hearing these approaches to measuring quality and some of the results of using them, I hope you'll offer your feedback: what zombies have you seen, slain, or run away from? Do the academic approaches I've described make sense here among the living -- in the everyday experiences of development and systems administration?</p>"
